show_id,show_label,band_id,band_name,performer_name_raw,performer_name_clean,role_raw,role_clean,source_line
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-jack-johnson,Jack Johnson,William Gaucher,William Gaucher,drums,drums,275
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-tribute-to-the-kings-rush-tribute,Tribute To The Kings (Rush tribute),Rick Collins,Rick Collins,vocals,vocals,278
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-tribute-to-the-kings-rush-tribute,Tribute To The Kings (Rush tribute),Bill Kreklewetz,Bill Kreklewetz,guitar,guitar,279
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-tribute-to-the-kings-rush-tribute,Tribute To The Kings (Rush tribute),Wayne Hemsworth,Wayne Hemsworth,guitar,guitar,280
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-tribute-to-the-kings-rush-tribute,Tribute To The Kings (Rush tribute),Tim Dougherty,Tim Dougherty,guitar,guitar,281
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-tribute-to-the-kings-rush-tribute,Tribute To The Kings (Rush tribute),Dominic Supino,Dominic Supino,guitar,guitar,282
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-tribute-to-the-kings-rush-tribute,Tribute To The Kings (Rush tribute),Chris Kreklewetz,Chris Kreklewetz,keyboards,keyboards,283
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-tribute-to-the-kings-rush-tribute,Tribute To The Kings (Rush tribute),Jean Boisvert,Jean Boisvert,bass,bass,284
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-tribute-to-the-kings-rush-tribute,Tribute To The Kings (Rush tribute),Mark Charbonneau,Mark Charbonneau,drums,drums,285
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-santana,Santana,Mario Giulione,Mario Giulione,vocals,vocals,288
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-santana,Santana,Robert Drummond,Robert Drummond,guitar,guitar,289
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-santana,Santana,Kenny Drummond,Kenny Drummond,guitar,guitar,290
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-santana,Santana,Michael Fitch,Michael Fitch,guitar,guitar,291
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-santana,Santana,Jeremy Wallace,Jeremy Wallace,guitar,guitar,292
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-santana,Santana,Ken Drummond,Ken Drummond,bass,bass,293
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-santana,Santana,Marla Caplan,Marla Caplan,drums,drums,294
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-santana,Santana,Chris Kreklewetz,Chris Kreklewetz,keyboards,keyboards,295
