band_id,show_id,show_label,band_name_raw,band_name_clean,is_solo,source_line
lftg-17-2018-the-clashroom,lftg-17-2018,LFTG 17 (2018),The Clashroom,The Clashroom,no,1098
lftg-18-2019-toaster-ghosts,lftg-18-2019,LFTG 18 (2019),Toaster Ghosts,Toaster Ghosts,no,1125
lftg-18-2019-the-dicky-birds,lftg-18-2019,LFTG 18 (2019),The Dicky Birds,The Dicky Birds,no,1132
lftg-18-2019-the-secret-chords,lftg-18-2019,LFTG 18 (2019),The Secret Chords,The Secret Chords,no,1138
lftg-18-2019-confused-and-bruised,lftg-18-2019,LFTG 18 (2019),Confused And Bruised,Confused And Bruised,no,1143
lftg-18-2019-fast-machine,lftg-18-2019,LFTG 18 (2019),Fast Machine,Fast Machine,no,1153
lftg-18-2019-pretty-liar,lftg-18-2019,LFTG 18 (2019),Pretty Liar,Pretty Liar,no,1161
lftg-18-2019-crossfire-hurricane,lftg-18-2019,LFTG 18 (2019),Crossfire Hurricane,Crossfire Hurricane,no,1168
lftg-18-2019-the-clashroom,lftg-18-2019,LFTG 18 (2019),The Clashroom,The Clashroom,no,1176
lftg-18-2019-sticky-trigger,lftg-18-2019,LFTG 18 (2019),Sticky Trigger,Sticky Trigger,no,1184
lftg-19-2020-the-only-lights,lftg-19-2020,LFTG 19 (2020),The Only Lights,The Only Lights,no,1475
lftg-19-2020-the-wrong,lftg-19-2020,LFTG 19 (2020),The Wrong,The Wrong,no,1481
lftg-19-2020-the-spaces,lftg-19-2020,LFTG 19 (2020),The Spaces,The Spaces,no,1487
lftg-19-2020-the-dicky-birds,lftg-19-2020,LFTG 19 (2020),The Dicky Birds,The Dicky Birds,no,1493
lftg-19-2020-soul-slide,lftg-19-2020,LFTG 19 (2020),Soul Slide,Soul Slide,no,1499
lftg-19-2020-sonic-shower,lftg-19-2020,LFTG 19 (2020),Sonic Shower,Sonic Shower,no,1505
lftg-19-2020-hard-luck,lftg-19-2020,LFTG 19 (2020),Hard Luck,Hard Luck,no,1512
lftg-19-2020-toaster-ghost,lftg-19-2020,LFTG 19 (2020),Toaster Ghost,Toaster Ghost,no,1518
lftg-19-2020-crossfire-hurricane,lftg-19-2020,LFTG 19 (2020),Crossfire Hurricane,Crossfire Hurricane,no,1524
lftg-19-2020-the-clashroom,lftg-19-2020,LFTG 19 (2020),The Clashroom,The Clashroom,no,1530
lftg-19-2020-the-5-15,lftg-19-2020,LFTG 19 (2020),The 5:15,The 5:15,no,1536
lftg-19-5-2021-the-lean-greens,lftg-19-5-2021,LFTG 19.5 (2021),The Lean Greens,The Lean Greens,no,1551
lftg-19-5-2021-the-dicky-birds,lftg-19-5-2021,LFTG 19.5 (2021),The Dicky Birds,The Dicky Birds,no,1557
lftg-19-5-2021-the-wrong,lftg-19-5-2021,LFTG 19.5 (2021),The Wrong,The Wrong,no,1563
lftg-19-5-2021-the-southend-suits,lftg-19-5-2021,LFTG 19.5 (2021),The Southend Suits,The Southend Suits,no,1570
lftg-19-5-2021-the-clashroom,lftg-19-5-2021,LFTG 19.5 (2021),The Clashroom,The Clashroom,no,1576
lftg-19-5-2021-the-bluebirds,lftg-19-5-2021,LFTG 19.5 (2021),The Bluebirds,The Bluebirds,no,1582
lftg-19-5-2021-sonic-shower,lftg-19-5-2021,LFTG 19.5 (2021),Sonic Shower,Sonic Shower,no,1587
lftg-19-5-2021-the-ninth-wave,lftg-19-5-2021,LFTG 19.5 (2021),The Ninth Wave,The Ninth Wave,no,1594
lftg-19-5-2021-rock-n-nolans,lftg-19-5-2021,LFTG 19.5 (2021),Rock n Nolans,Rock n Nolans,no,1599
lftg-19-5-2021-soft-speak,lftg-19-5-2021,LFTG 19.5 (2021),Soft Speak,Soft Speak,no,1604
lftg-19-5-2021-street-spirit,lftg-19-5-2021,LFTG 19.5 (2021),Street Spirit,Street Spirit,no,1610
lftg-19-5-2021-the-5-15,lftg-19-5-2021,LFTG 19.5 (2021),The 5:15,The 5:15,no,1617
lftg-19-5-2021-the-lightning,lftg-19-5-2021,LFTG 19.5 (2021),The Lightning,The Lightning,no,1623
lftg-20-2022-t-c,lftg-20-2022,LFTG 20 (2022),T & C,T & C,no,1639
lftg-20-2022-white-orchid,lftg-20-2022,LFTG 20 (2022),White Orchid,White Orchid,no,1644
