show_id,show_label,band_id,song,url
lftg-18-2019,LFTG 18 (2019),lftg-18-2019-the-clashroom,"Never Forgive, Never Forget by The Clashroom",https://youtu.be/UTluxJGLyS4?si=FVVdxl8xgNM_DVAC
lftg-18-2019,LFTG 18 (2019),lftg-18-2019-sticky-trigger,Maggie May by Rod Stewart,https://youtu.be/jhbhYFNiGrU?si=2An9YgibCmWwnS-c
lftg-18-2019,LFTG 18 (2019),lftg-18-2019-toaster-ghosts,Smells Like Teen Spirit by Nirvana,https://youtu.be/nKSjC4wTWRk?si=2yc1d2omwRO3k8bc
lftg-18-2019,LFTG 18 (2019),lftg-18-2019-fast-machine,You Shook Me All Night Long by AC/DC,https://youtu.be/xfYYyf0rBSY?si=sUt7uhzI1gnUGYCU
lftg-19-2020,LFTG 19 (2020),lftg-19-2020-the-spaces,Beverly Hills by Weezer,https://youtu.be/RHI-PZs0He8?si=Sa-k6NWbQBmCY3Oh
lftg-19-2020,LFTG 19 (2020),lftg-19-2020-soul-slide,Don’t Look Back In Anger by Oasis,https://youtu.be/eDph-LVF-Z8?si=ThCQXCCVLuFa3JuZ
lftg-19-2020,LFTG 19 (2020),lftg-19-2020-hard-luck,Born Under A Bad Sign by Cream,https://youtu.be/73OMelainsU?si=u2zB9ORsRlj9wEn6
lftg-19-2020,LFTG 19 (2020),lftg-19-2020-the-only-lights,Stand By Me by Ben E. King,https://youtu.be/auaKq4b_lPg?si=aph1N0xJ8dOV0nqH
lftg-19-2020,LFTG 19 (2020),lftg-19-2020-the-5-15,Be Yourself by Audioslave,https://youtu.be/mYd8c99hZvo?si=AQrQqsxk1C80jf-b
lftg-19-2020,LFTG 19 (2020),lftg-19-2020-the-wrong,Zombie by The Cranberries,https://youtu.be/C8bZGpBprCM?si=Ayk6R3JquavgZQtC
lftg-19-2020,LFTG 19 (2020),lftg-19-2020-sonic-shower,Ex’s & Oh’s by Elle King,https://youtu.be/BZuW3vlg7TA?si=j6F0MdKv_1vQpp2c
lftg-19-2020,LFTG 19 (2020),lftg-19-2020-the-dicky-birds,Telescope by Cage The Elephant,https://youtu.be/R0w9EHbAA9E?si=gvZf7XDpjckdvSlo
lftg-19-2020,LFTG 19 (2020),lftg-19-2020-toaster-ghost,Royals by Lorde,https://youtu.be/OSVB2q1TjmY?si=IJ6kY3j4bFTwUvLw
lftg-19-2020,LFTG 19 (2020),lftg-19-2020-the-clashroom,A Little Longer by The Clashroom,https://youtu.be/Bx0iQU1Zp_8?si=mV-XvYatnhosbSj_
lftg-19-2020,LFTG 19 (2020),lftg-19-2020-crossfire-hurricane,Sunshine Of Your Love by Cream,https://youtu.be/Yxj4BVPzqKY?si=y_S-ux8371hG1FHB
lftg-19-5-2021,LFTG 19.5 (2021),lftg-19-5-2021-the-lightning,Congregation by Foo Fighters,https://youtu.be/WWoZUeLyarI?si=Oj8pfgZX6u1vpowv
lftg-19-5-2021,LFTG 19.5 (2021),lftg-19-5-2021-the-lean-greens,Money (That's What I Want) by The Jaded Hearts Club,https://youtu.be/AZwD7tX5Fsw?si=hpJoC7qkBmMMmydm
lftg-19-5-2021,LFTG 19.5 (2021),lftg-19-5-2021-the-dicky-birds,Tear In My Heart by Twenty One Pilots,https://youtu.be/t-83mzJ5aq4?si=-pO6A4tkl2xBWyjz
lftg-19-5-2021,LFTG 19.5 (2021),lftg-19-5-2021-rock-n-nolans,Addicted To You by Avicii,https://youtu.be/et7aG55ggG4?si=TwQvmFvEC6b4i9Kr
lftg-19-5-2021,LFTG 19.5 (2021),lftg-19-5-2021-the-clashroom,Like The Way I Do by Melissa Etheridge,https://youtu.be/Yb9hhxErrpA?si=CE68b5EgUibTChDv
lftg-19-5-2021,LFTG 19.5 (2021),lftg-19-5-2021-the-wrong,Heathens by Twenty One Pilots,https://youtu.be/Bp8Q9H5FMto?si=Aym6YoAFLwhovw29
lftg-19-5-2021,LFTG 19.5 (2021),lftg-19-5-2021-soft-speak,Cigarette Daydreams by Cage The Elephant,https://youtu.be/BU6jrxTLKQg?si=X1R5u3zGsG9nsg_L
lftg-19-5-2021,LFTG 19.5 (2021),lftg-19-5-2021-sonic-shower,From Eden by Hozier,https://youtu.be/_nkh1kJew8w?si=vNqb9b-YxemGVk5Y
lftg-19-5-2021,LFTG 19.5 (2021),lftg-19-5-2021-the-southend-suits,Picture Book by The Kinks,https://youtu.be/rVqX9mX7Kyo?si=CmxXZppWKwzJRFhs
lftg-19-5-2021,LFTG 19.5 (2021),lftg-19-5-2021-the-bluebirds,Somewhere Over The Rainbow by Israel Kamakawiwoʻole,https://youtu.be/6zlKp6-tkTU?si=BRU5aYUWVqhx4GNX
lftg-19-5-2021,LFTG 19.5 (2021),lftg-19-5-2021-street-spirit,Paranoid Android by Radiohead,https://youtu.be/OFNYVU1VkFo?si=JHNmltESVfqx4I7D
lftg-19-5-2021,LFTG 19.5 (2021),lftg-19-5-2021-the-ninth-wave,Wipe Out by The Ventures,https://youtu.be/J3JCLLq1r58?si=Juokzc1XRSpsH2O1
lftg-19-5-2021,LFTG 19.5 (2021),lftg-19-5-2021-the-5-15,Make It Wit Chu by Queens Of The Stone Age,https://youtu.be/69erEPnt7kM?si=92oFkXQB796xxfp9
lftg-20-2022,LFTG 20 (2022),lftg-20-2022-the-wrong,Otherside by Red Hot Chili Peppers,https://youtu.be/gDdDxzqDWYs?si=b-Jw4c9U_53uTiri
lftg-20-2022,LFTG 20 (2022),lftg-20-2022-sonic-shower,Take Me To Church by Hozier,https://youtu.be/DTEzqHY39wE?si=y5SvZFd4J4fv4inC
lftg-20-2022,LFTG 20 (2022),lftg-20-2022-sour-apples,Crying by Pom Pom Squad,https://youtu.be/VypsUUGZUbk?si=LjfN2Wf5VnTjs-GE
